2016-01-12 11:36:34,375 [Dummy-1:20964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:36:34,401 [Dummy-1:20964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.026) SHOW FULL TABLES; args=None
2016-01-12 11:36:34,408 [Dummy-1:20964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:39:37,375 [Dummy-1:13712] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:39:37,427 [Dummy-1:13712] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:39:37,430 [Dummy-1:13712] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-01-12 11:39:37,434 [Dummy-1:13712] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:41:45,506 [Dummy-1:21580] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:41:45,562 [Dummy-1:21580] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:41:45,565 [Dummy-1:21580] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-01-12 11:41:45,572 [Dummy-1:21580] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:42:10,553 [Dummy-1:7344] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:42:10,612 [Dummy-1:7344] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:42:10,615 [Dummy-1:7344] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-01-12 11:42:10,621 [Dummy-1:7344] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:46:11,344 [Dummy-1:5772] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:46:11,398 [Dummy-1:5772] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:46:11,401 [Dummy-1:5772] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-01-12 11:46:11,404 [Dummy-1:5772] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:46:36,871 [Dummy-1:2980] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:46:36,928 [Dummy-1:2980] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:46:36,930 [Dummy-1:2980] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2016-01-12 11:46:36,934 [Dummy-1:2980] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:47:27,999 [Dummy-1:4992] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:47:28,059 [Dummy-1:4992] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:47:28,062 [Dummy-1:4992] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2016-01-12 11:47:28,065 [Dummy-1:4992] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:48:20,950 [Dummy-1:13776] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:48:21,005 [Dummy-1:13776] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:48:21,007 [Dummy-1:13776] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-01-12 11:48:21,013 [Dummy-1:13776] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:48:33,045 [Dummy-1:7164] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:48:33,107 [Dummy-1:7164] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:48:33,109 [Dummy-1:7164] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2016-01-12 11:48:33,115 [Dummy-1:7164] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:48:38,013 [Thread-2:14792] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:48:38,056 [Thread-2:14792] [django.db.backends:89] [utils:execute] [DEBUG]- (0.043) SELECT `blog_app_links`.`id`, `blog_app_links`.`title`, `blog_app_links`.`description`, `blog_app_links`.`callback_url`, `blog_app_links`.`date_publish`, `blog_app_links`.`index` FROM `blog_app_links` ORDER BY `blog_app_links`.`index` ASC, `blog_app_links`.`id` ASC LIMIT 21; args=()
2016-01-12 11:49:51,053 [Dummy-1:22196] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:49:51,112 [Dummy-1:22196] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:49:51,115 [Dummy-1:22196] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-01-12 11:49:51,119 [Dummy-1:22196] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 11:49:55,071 [Thread-2:6532] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 11:49:55,095 [Thread-2:6532] [django.db.backends:89] [utils:execute] [DEBUG]- (0.024) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 11:49:55,118 [Thread-2:6532] [django.db.backends:89] [utils:execute] [DEBUG]- (0.011) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 11:49:55,206 [Thread-2:6532] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_app_links`.`id`, `blog_app_links`.`title`, `blog_app_links`.`description`, `blog_app_links`.`callback_url`, `blog_app_links`.`date_publish`, `blog_app_links`.`index` FROM `blog_app_links` ORDER BY `blog_app_links`.`index` ASC, `blog_app_links`.`id` ASC LIMIT 21; args=()
2016-01-12 11:49:55,207 [Thread-2:6532] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_article`.`id`, `blog_app_article`.`title`, `blog_app_article`.`desc`, `blog_app_article`.`content`, `blog_app_article`.`click_count`, `blog_app_article`.`is_recommend`, `blog_app_article`.`date_publish`, `blog_app_article`.`user_id`, `blog_app_article`.`category_id` FROM `blog_app_article` ORDER BY `blog_app_article`.`date_publish` DESC LIMIT 21; args=()
